county,year ,val_sf
Los Angeles,2010,262.6935021
San Diego,2010,244.3084384
Orange,2010,292.3129994
Riverside,2010,119.5883504
San Bernardino,2010,111.8222456
Santa Clara,2010,363.7041034
Alameda,2010,284.1156587
Sacramento,2010,
Contra Costa,2010,
Fresno,2010,111.0152291
Kern,2010,94.45595002
Ventura,2010,267.2522111
San Francisco,2010,553.2612729
San Mateo ,2010,471.0109491
San Joaquin,2010,
Stanislaus,2010,92.35591609
Sonoma,2010,250.7413109
Tulare,2010,97.55602117
Santa Barbara,2010,
Monterey,2010,
Solano,2010,134.937735
Placer,2010,159.3060847
San Luis Obispo,2010,270.865773
Santa Cruz,2010,371.8115484
Merced,2010,73.07229303
Marin,2010,445.3575256
Butte,2010,151.1798641
Yolo,2010,157.6930158
El Dorado,2010,188.5159094
Shasta,2010,140.2200108
Kings,2010,110.3752163
Madera,2010,104.4576526
Napa,2010,301.4448683
Humboldt,2010,202.6061412
Nevada,2010,211.2017106
Sutter,2010,100.2554954
Yuba,2010,
Lake,2010,122.4726442
Tehama,2010,123.614778
Tuolumne,2010,154.3500807
San Benito,2010,170.7549946
Calaveras,2010,169.9489857
Siskiyou,2010,143.238049
Amador,2010,147.4519922
Lassen,2010,
Glenn,2010,126.3689592
Colusa,2010,100.8161148
Plumas,2010,211.6259764
Inyo,2010,190.3465736
Mariposa,2010,149.9739843
Mono,2010,284.0279622
Trinity,2010,
Modoc,2010,103.3552778
Los Angeles,2011,242.0588485
San Diego,2011,220.0387856
Orange,2011,269.0988303
Riverside,2011,112.0473322
San Bernardino,2011,108.2671517
Santa Clara,2011,335.9617865
Alameda,2011,256.2699626
Sacramento,2011,
Contra Costa,2011,
Fresno,2011,95.30469813
Kern,2011,84.00635178
Ventura,2011,242.6610448
San Francisco,2011,558.7143957
San Mateo ,2011,439.960631
San Joaquin,2011,
Stanislaus,2011,84.76725871
Sonoma,2011,223.4443461
Tulare,2011,86.31422364
Santa Barbara,2011,
Monterey,2011,267.9237004
Solano,2011,119.1134765
Placer,2011,141.0179707
San Luis Obispo,2011,247.5179927
Santa Cruz,2011,326.0532498
Merced,2011,71.45419884
Marin,2011,402.6869434
Butte,2011,123.2649958
Yolo,2011,133.5520609
El Dorado,2011,162.095931
Shasta,2011,119.1175503
Kings,2011,95.9784376
Madera,2011,86.49575065
Napa,2011,275.516889
Humboldt,2011,182.1082493
Nevada,2011,191.5795151
Sutter,2011,88.5325048
Yuba,2011,
Lake,2011,99.61318954
Tehama,2011,101.5793656
Tuolumne,2011,134.2755332
San Benito,2011,152.8531701
Calaveras,2011,142.3712369
Siskiyou,2011,122.6618979
Amador,2011,120.4950996
Lassen,2011,
Glenn,2011,107.3154248
Colusa,2011,90.53246309
Plumas,2011,178.5762657
Inyo,2011,164.1085398
Mariposa,2011,125.5896774
Mono,2011,281.8786402
Trinity,2011,
Modoc,2011,91.62596031
Los Angeles,2012,240.8393464
San Diego,2012,215.9737093
Orange,2012,269.9191848
Riverside,2012,117.076881
San Bernardino,2012,111.9735215
Santa Clara,2012,350.7096214
Alameda,2012,263.8822135
Sacramento,2012,
Contra Costa,2012,
Fresno,2012,97.10275545
Kern,2012,88.01069095
Ventura,2012,234.9195704
San Francisco,2012,594.1332815
San Mateo ,2012,456.1579373
San Joaquin,2012,
Stanislaus,2012,87.44243171
Sonoma,2012,234.1260236
Tulare,2012,90.73238592
Santa Barbara,2012,
Monterey,2012,306.9471493
Solano,2012,121.7327293
Placer,2012,159.5003317
San Luis Obispo,2012,251.5982667
Santa Cruz,2012,322.2812149
Merced,2012,74.61618234
Marin,2012,440.3959754
Butte,2012,123.1995138
Yolo,2012,133.1861994
El Dorado,2012,158.6209772
Shasta,2012,119.4030843
Kings,2012,93.15298629
Madera,2012,94.76108731
Napa,2012,300.2755646
Humboldt,2012,169.6575812
Nevada,2012,188.4067436
Sutter,2012,86.61506947
Yuba,2012,
Lake,2012,96.77380379
Tehama,2012,100.6495406
Tuolumne,2012,128.8865844
San Benito,2012,161.2747516
Calaveras,2012,126.0285042
Siskiyou,2012,109.0938103
Amador,2012,115.7272434
Lassen,2012,91.92651812
Glenn,2012,100.6728969
Colusa,2012,89.09489976
Plumas,2012,156.5494627
Inyo,2012,165.1508717
Mariposa,2012,131.4183838
Mono,2012,270.779476
Trinity,2012,
Modoc,2012,88.61960722
Los Angeles,2013,295.4044184
San Diego,2013,263.4884658
Orange,2013,328.0186538
Riverside,2013,151.3840964
San Bernardino,2013,133.5466223
Santa Clara,2013,415.7135727
Alameda,2013,331.668357
Sacramento,2013,157.5374502
Contra Costa,2013,278.4535052
Fresno,2013,118.1965785
Kern,2013,110.0860848
Ventura,2013,280.6134779
San Francisco,2013,701.6577639
San Mateo ,2013,530.4061636
San Joaquin,2013,142.8571429
Stanislaus,2013,117.6061392
Sonoma,2013,283.596478
Tulare,2013,106.3823727
Santa Barbara,2013,426.2320744
Monterey,2013,386.0634515
Solano,2013,164.1305483
Placer,2013,195.4818154
San Luis Obispo,2013,286.1821958
Santa Cruz,2013,378.6101809
Merced,2013,96.61910546
Marin,2013,487.0961099
Butte,2013,144.9230102
Yolo,2013,169.4266604
El Dorado,2013,192.9762893
Shasta,2013,142.7110125
Kings,2013,107.9864465
Madera,2013,117.8327702
Napa,2013,360.7230135
Humboldt,2013,177.4078734
Nevada,2013,206.8217844
Sutter,2013,111.167397
Yuba,2013,
Lake,2013,118.0742864
Tehama,2013,120.4952832
Tuolumne,2013,141.1321516
San Benito,2013,206.7825183
Calaveras,2013,146.5009873
Siskiyou,2013,119.6045462
Amador,2013,133.8270826
Lassen,2013,96.25193763
Glenn,2013,119.2595431
Colusa,2013,100.104211
Plumas,2013,163.8900017
Inyo,2013,174.2493447
Mariposa,2013,152.7706652
Mono,2013,277.5143541
Trinity,2013,
Modoc,2013,87.475004
Los Angeles,2014,325.2275738
San Diego,2014,291.1743554
Orange,2014,354.3401442
Riverside,2014,168.1959028
San Bernardino,2014,157.7571853
Santa Clara,2014,448.6526409
Alameda,2014,368.8234979
Sacramento,2014,165.9216375
Contra Costa,2014,293.1066746
Fresno,2014,129.2744767
Kern,2014,122.626787
Ventura,2014,301.7245206
San Francisco,2014,765.0420672
San Mateo ,2014,585.18339
San Joaquin,2014,154.8444357
Stanislaus,2014,141.1279598
Sonoma,2014,313.0734
Tulare,2014,117.131315
Santa Barbara,2014,420.6579254
Monterey,2014,381.4069397
Solano,2014,191.6420448
Placer,2014,203.6451323
San Luis Obispo,2014,305.4502539
Santa Cruz,2014,415.1909371
Merced,2014,119.706441
Marin,2014,514.903438
Butte,2014,153.8578353
Yolo,2014,185.1744877
El Dorado,2014,206.9418281
Shasta,2014,151.8499891
Kings,2014,115.5397544
Madera,2014,132.5890364
Napa,2014,379.075522
Humboldt,2014,185.5083552
Nevada,2014,212.2651261
Sutter,2014,128.3590788
Yuba,2014,123.4475732
Lake,2014,135.9794973
Tehama,2014,130.2219183
Tuolumne,2014,152.644199
San Benito,2014,235.4291035
Calaveras,2014,162.0052357
Siskiyou,2014,122.9351607
Amador,2014,151.2189676
Lassen,2014,103.0619897
Glenn,2014,130.1081253
Colusa,2014,127.8848007
Plumas,2014,168.6501335
Inyo,2014,182.4689459
Mariposa,2014,159.8942995
Mono,2014,296.1844223
Trinity,2014,
Modoc,2014,89.04893207
Los Angeles,2015,350.1239694
San Diego,2015,308.4119249
Orange,2015,369.2662043
Riverside,2015,175.5056829
San Bernardino,2015,168.8587025
Santa Clara,2015,502.5888952
Alameda,2015,407.7234588
Sacramento,2015,177.3928044
Contra Costa,2015,311.2899006
Fresno,2015,136.4858595
Kern,2015,127.5087731
Ventura,2015,314.9512834
San Francisco,2015,844.172166
San Mateo ,2015,662.6851125
San Joaquin,2015,167.8685595
Stanislaus,2015,152.9854496
Sonoma,2015,341.2867667
Tulare,2015,123.824801
Santa Barbara,2015,444.0846127
Monterey,2015,382.9199893
Solano,2015,206.1184755
Placer,2015,212.031461
San Luis Obispo,2015,323.5634653
Santa Cruz,2015,443.0288208
Merced,2015,128.4431867
Marin,2015,550.6596329
Butte,2015,158.6460273
Yolo,2015,206.8298312
El Dorado,2015,215.2035318
Shasta,2015,154.9352309
Kings,2015,121.7987208
Madera,2015,134.7395153
Napa,2015,406.7416266
Humboldt,2015,184.8751617
Nevada,2015,229.8143367
Sutter,2015,135.6445203
Yuba,2015,130.5721862
Lake,2015,149.1684531
Tehama,2015,135.9853775
Tuolumne,2015,160.1649038
San Benito,2015,264.3521264
Calaveras,2015,168.3579383
Siskiyou,2015,128.6020999
Amador,2015,162.4837483
Lassen,2015,116.0110337
Glenn,2015,140.2018285
Colusa,2015,133.0521999
Plumas,2015,176.4340331
Inyo,2015,192.6635127
Mariposa,2015,154.2667552
Mono,2015,299.7697155
Trinity,2015,
Modoc,2015,97.33202453
Los Angeles,2016,380.7958199
San Diego,2016,328.281991
Orange,2016,389.4154688
Riverside,2016,184.457179
San Bernardino,2016,181.6806268
Santa Clara,2016,554.6073246
Alameda,2016,443.772311
Sacramento,2016,194.7227874
Contra Costa,2016,338.2050415
Fresno,2016,143.5356351
Kern,2016,131.6460277
Ventura,2016,330.5182377
San Francisco,2016,927.4428326
San Mateo ,2016,730.8087546
San Joaquin,2016,182.9359596
Stanislaus,2016,168.1400023
Sonoma,2016,368.8240489
Tulare,2016,132.1596912
Santa Barbara,2016,491.4488802
Monterey,2016,413.0395309
Solano,2016,223.7269423
Placer,2016,229.1561744
San Luis Obispo,2016,338.7421792
Santa Cruz,2016,476.2363868
Merced,2016,140.1809352
Marin,2016,594.0934444
Butte,2016,171.5769866
Yolo,2016,231.5855688
El Dorado,2016,231.5635207
Shasta,2016,159.8078815
Kings,2016,130.9743155
Madera,2016,141.2757573
Napa,2016,430.2543894
Humboldt,2016,199.3439904
Nevada,2016,246.7706286
Sutter,2016,145.9108279
Yuba,2016,143.469345
Lake,2016,161.864004
Tehama,2016,143.3018643
Tuolumne,2016,169.2386562
San Benito,2016,280.4201191
Calaveras,2016,184.4250285
Siskiyou,2016,139.2970913
Amador,2016,182.2004779
Lassen,2016,126.2786449
Glenn,2016,150.6753588
Colusa,2016,146.8299527
Plumas,2016,182.1588293
Inyo,2016,186.6941943
Mariposa,2016,163.0318147
Mono,2016,321.8452849
Trinity,2016,198.3602472
Modoc,2016,101.9984179