"STATION","NAME","DATE","EVAP","PRCP","SNOW","TAVG","TMAX","WDMV"
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","2010",,,,"53.2","68.6",
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","2011",,,,"52.7","69.2",
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","2012",,,,"53.5","70.4",
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","2013",,,,"53.0","71.3",
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","2014",,,,"55.8","72.8",
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","2015",,,,"55.7","73.0",
"USR0000CHAY","HAYFORK CALIFORNIA, CA US","2016",,,,"54.8","70.6",
"USC00049490","WEAVERVILLE, CA US","2010",,"45.98","11.0","54.1","68.0",
"USC00049490","WEAVERVILLE, CA US","2011",,"31.78",,"53.2","67.9",
"USC00049490","WEAVERVILLE, CA US","2012",,"47.63",,"54.3","69.7",
"USC00049490","WEAVERVILLE, CA US","2013",,"13.67",,"54.7","72.2",
"USC00049490","WEAVERVILLE, CA US","2014",,"34.91",,"57.5","73.6",
"USC00049490","WEAVERVILLE, CA US","2015",,"28.45",,"57.8","74.3",
"USC00049490","WEAVERVILLE, CA US","2016",,"50.31",,"56.7","72.0",
"USR0000CSCN","SCORPION CALIFORNIA, CA US","2010",,,,,"65.6",
"USR0000CSCN","SCORPION CALIFORNIA, CA US","2011",,,,"54.2","66.6",
"USR0000CSCN","SCORPION CALIFORNIA, CA US","2012",,,,"56.0","68.8",
"USR0000CSCN","SCORPION CALIFORNIA, CA US","2013",,,,"58.4","72.2",
"USR0000CSCN","SCORPION CALIFORNIA, CA US","2014",,,,"58.5","71.3",
"USR0000CSCN","SCORPION CALIFORNIA, CA US","2015",,,,"58.7","72.0",
"USR0000CSCN","SCORPION CALIFORNIA, CA US","2016",,,,"56.3","68.6",
"USR0000CFRI","FRIEND MOUNTAIN CALIFORNIA, CA US","2010",,,,,,
"USR0000CFRI","FRIEND MOUNTAIN CALIFORNIA, CA US","2011",,,,"51.0","62.4",
"USR0000CFRI","FRIEND MOUNTAIN CALIFORNIA, CA US","2012",,,,"52.3","63.8",
"USR0000CFRI","FRIEND MOUNTAIN CALIFORNIA, CA US","2013",,,,"53.7","66.1",
"USR0000CFRI","FRIEND MOUNTAIN CALIFORNIA, CA US","2014",,,,"55.1","66.8",
"USR0000CFRI","FRIEND MOUNTAIN CALIFORNIA, CA US","2015",,,,"55.4","67.2",
"USR0000CFRI","FRIEND MOUNTAIN CALIFORNIA, CA US","2016",,,,"53.3","64.5",
"USC00040738","BIG BAR 4 E, CA US","2010",,,,,,
"USC00040738","BIG BAR 4 E, CA US","2011",,"28.13","0.5",,,
"USC00040738","BIG BAR 4 E, CA US","2013",,"12.54",,"56.0","72.0",
"USC00040738","BIG BAR 4 E, CA US","2014",,"33.39",,"58.5","73.9",
"USC00040738","BIG BAR 4 E, CA US","2015",,"29.99",,"58.4","73.8",
"USR0000CBBR","BIG BAR CALIFORNIA, CA US","2010",,,,"57.1","70.2",
"USR0000CBBR","BIG BAR CALIFORNIA, CA US","2011",,,,"56.7","71.1",
"USR0000CBBR","BIG BAR CALIFORNIA, CA US","2012",,,,"58.1","72.9",
"USR0000CBBR","BIG BAR CALIFORNIA, CA US","2013",,,,,,
"USR0000CBBR","BIG BAR CALIFORNIA, CA US","2014",,,,"60.9","75.4",
"USR0000CBBR","BIG BAR CALIFORNIA, CA US","2015",,,,"60.7","75.7",
"USR0000CBBR","BIG BAR CALIFORNIA, CA US","2016",,,,"59.2","73.0",
"USR0000CRUT","RUTH CALIFORNIA, CA US","2010",,,,"52.3","67.1",
"USR0000CRUT","RUTH CALIFORNIA, CA US","2011",,,,"52.3","68.6",
"USR0000CRUT","RUTH CALIFORNIA, CA US","2012",,,,"53.4","70.2",
"USR0000CRUT","RUTH CALIFORNIA, CA US","2013",,,,"53.9","72.7",
"USR0000CRUT","RUTH CALIFORNIA, CA US","2014",,,,"56.0","73.3",
"USR0000CRUT","RUTH CALIFORNIA, CA US","2015",,,,"56.0","73.9",
"USR0000CRUT","RUTH CALIFORNIA, CA US","2016",,,,"54.2","69.5",
"USR0000CYOL","YOLLA BOLLA CALIFORNIA, CA US","2010",,,,"50.9","62.7",
"USR0000CYOL","YOLLA BOLLA CALIFORNIA, CA US","2011",,,,"51.8","64.7",
"USR0000CYOL","YOLLA BOLLA CALIFORNIA, CA US","2012",,,,"53.2","66.4",
"USR0000CYOL","YOLLA BOLLA CALIFORNIA, CA US","2013",,,,"55.0","69.4",
"USR0000CYOL","YOLLA BOLLA CALIFORNIA, CA US","2014",,,,"55.8","68.6",
"USR0000CYOL","YOLLA BOLLA CALIFORNIA, CA US","2015",,,,"56.2","69.4",
"USR0000CYOL","YOLLA BOLLA CALIFORNIA, CA US","2016",,,,"54.0","66.7",
"USR0000CTRI","TRINITY CAMP CALIFORNIA, CA US","2010",,,,"52.3","61.6",
"USR0000CTRI","TRINITY CAMP CALIFORNIA, CA US","2011",,,,"52.2","62.3",
"USR0000CTRI","TRINITY CAMP CALIFORNIA, CA US","2012",,,,"53.6","63.9",
"USR0000CTRI","TRINITY CAMP CALIFORNIA, CA US","2013",,,,"54.9","66.3",
"USR0000CTRI","TRINITY CAMP CALIFORNIA, CA US","2014",,,,"56.7","67.1",
"USR0000CTRI","TRINITY CAMP CALIFORNIA, CA US","2015",,,,"56.7","67.5",
"USR0000CTRI","TRINITY CAMP CALIFORNIA, CA US","2016",,,,"54.7","64.8",
"USR0000CUND","UNDERWOOD CALIFORNIA, CA US","2010",,,,"53.7","65.3",
"USR0000CUND","UNDERWOOD CALIFORNIA, CA US","2011",,,,"53.9","66.6",
"USR0000CUND","UNDERWOOD CALIFORNIA, CA US","2012",,,,"54.7","67.5",
"USR0000CUND","UNDERWOOD CALIFORNIA, CA US","2013",,,,"55.3","69.0",
"USR0000CUND","UNDERWOOD CALIFORNIA, CA US","2014",,,,,,
"US1CATY0011","TRINITY CENTER 0.6 ESE, CA US","2013",,"12.67",,,,
"USR0000CMAD","MAD RIVER CALIFORNIA, CA US","2010",,,,"52.4","64.9",
"USR0000CMAD","MAD RIVER CALIFORNIA, CA US","2011",,,,"52.4","65.8",
"USR0000CMAD","MAD RIVER CALIFORNIA, CA US","2012",,,,"53.0","66.5",
"USR0000CMAD","MAD RIVER CALIFORNIA, CA US","2013",,,,"54.6","69.9",
"USR0000CMAD","MAD RIVER CALIFORNIA, CA US","2014",,,,,,
"USR0000CMAD","MAD RIVER CALIFORNIA, CA US","2016",,,,"54.4","67.2",
"US1CATY0003","DOUGLAS CITY 2.4 SW, CA US","2010",,"48.72",,,,
"US1CATY0003","DOUGLAS CITY 2.4 SW, CA US","2011",,"29.50",,,,
"US1CATY0003","DOUGLAS CITY 2.4 SW, CA US","2012",,"42.79",,,,
"US1CATY0003","DOUGLAS CITY 2.4 SW, CA US","2013",,"11.75",,,,
"US1CATY0003","DOUGLAS CITY 2.4 SW, CA US","2014",,"30.19",,,,
"US1CATY0003","DOUGLAS CITY 2.4 SW, CA US","2015",,"25.49",,,,
"USR0000CBAC","BACKBONE CALIFORNIA, CA US","2010",,,,"51.1","60.4",
"USR0000CBAC","BACKBONE CALIFORNIA, CA US","2011",,,,"52.3","62.3",
"USR0000CBAC","BACKBONE CALIFORNIA, CA US","2012",,,,"53.7","64.1",
"USR0000CBAC","BACKBONE CALIFORNIA, CA US","2014",,,,,,
"USR0000CBAC","BACKBONE CALIFORNIA, CA US","2015",,,,"56.5","66.8",
"USR0000CBAC","BACKBONE CALIFORNIA, CA US","2016",,,,"54.4","64.3",
"USC00049026","TRINITY RIVER HATCHERY, CA US","2010","48.2","44.85","0.8","54.7","68.2","8015.1"
"USC00049026","TRINITY RIVER HATCHERY, CA US","2011","46.3","29.26","3.5","53.7","68.1","7493.1"
"USC00049026","TRINITY RIVER HATCHERY, CA US","2012","64.4","37.44","27.6","55.2","70.2","7716.8"
"USC00049026","TRINITY RIVER HATCHERY, CA US","2014","58.3","32.24","0.0",,,"7980.9"
"USC00049026","TRINITY RIVER HATCHERY, CA US","2015","55.5","23.29","4.0",,,"6791.0"
"USC00049026","TRINITY RIVER HATCHERY, CA US","2016","54.7","39.87","2.0","56.7","71.3","6782.9"
