county_year,county,Arson_x,Campfire_x,Debris Burning_x,Elec. Power_x,Equip. Use_x,Ltng._x,Misc._x,P-W-F_x,Railroad_x,Smoking_x,Undet._x,Vehicle_x,year_x,region_x,.25 acres or <_x,.26-9.99 acres_x,10-99 acres_x,100-299 acres_x,300-999 acres_x,1000-4999 acres_x,5000 acres >_x,year_y,region_y,Arson_y,Campfire_y,Debris Burning_y,Elec. Power_y,Equip. Use_y,Ltng._y,Misc._y,P-W-F_y,Railroad_y,Smoking_y,Undet._y,Vehicle_y,Year,Region,Brush,Grass,Timber,Woodland,Other,year_x,region_x,Arson,Campfire,Debris Burning,Elec. Power,Equip.Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,year ,region ,.25 acres or <_y,.26-9.99 acres_y,10-99 acres_y,100-299 acres_y,300-999 acres_y,1000-4999 acres_y,5000 acres >_y,year,region
San Luis Obispo_2015,San Luis Obispo,1,10,7,11,15,7,42,1,0,1,11,28,2015,south,85,43,4,0,0,2,0,2015,south,0,3,24,11,11,4,110,0,0,0,7,"4,293",2015,southern,1890,2535,4,34,0,2015,south,$0 ,$100 ,$0 ,"$15,100 ",,"$20,000 ","$440,400 ",$0 ,$0 ,$0 ,$0 ,"$924,300 ",2015,south,"$440,800 ","$39,100 ",$0 ,$0 ,$0 ,"$920,000 ",$0 ,2015,south
San Mateo_2015,San Mateo,0,1,0,2,2,1,0,0,0,1,9,1,2015,north,9,7,1,0,0,0,0,2015,north,0,0,0,7,4,0,0,0,0,1,15,10,2015,northern,0,35,1,1,0,2015,north,$0 ,$0 ,$0 ,$2 ,$200 ,$300 ,$0 ,$0 ,$0 ,$0 ,$100 ,$0 ,2015,north ,$302 ,$300 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Santa Clara_2015,Santa Clara,1,0,2,6,7,1,9,0,0,0,26,6,2015,north,30,25,3,0,0,0,0,2015,north,0,0,0,9,5,1,3,0,0,0,159,6,2015,northern,42,122,3,16,0,2015,north,$0 ,$0 ,$0 ,,$494 ,$0 ,$100 ,$0 ,$0 ,$0 ,"$10,580 ",$100 ,2015,north ,$400 ,"$3,374 ","$7,500 ",$0 ,$0 ,$0 ,$0 ,2015,north
Santa Clara_2015,Santa Clara,1,0,2,6,7,1,9,0,0,0,26,6,2015,north,30,25,3,0,0,0,0,2015,north,7,1,0,287,307,44,56,0,0,0,"3,204",213,2015,northern,42,122,3,16,0,2015,north,$0 ,$0 ,$0 ,,$494 ,$0 ,$100 ,$0 ,$0 ,$0 ,"$10,580 ",$100 ,2015,north ,$400 ,"$3,374 ","$7,500 ",$0 ,$0 ,$0 ,$0 ,2015,north
Santa Cruz_2015,Santa Cruz,7,2,2,8,4,0,6,0,0,1,13,3,2015,north,40,6,0,0,0,0,0,2015,north,1,0,0,4,0,0,2,0,0,0,3,0,2015,northern,1,3,5,1,0,2015,north,$105 ,$0 ,$0 ,$900 ,$500 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,002 ","$5,500 ",2015,north ,"$9,107 ",$900 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Shasta_2015,Shasta,35,5,23,6,13,27,13,5,0,2,31,10,2015,north,106,53,9,2,0,0,0,2015,north,0,0,0,0,0,0,0,0,0,0,0,0,2015,northern,6,370,58,255,79,2015,north,$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$10,050 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Shasta_2015,Shasta,35,5,23,6,13,27,13,5,0,2,31,10,2015,north,106,53,9,2,0,0,0,2015,north,0,0,0,0,0,0,0,0,0,0,0,0,2015,northern,6,370,58,255,79,2015,north,$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$10,050 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north ,"$31,080 ","$71,241 ","$415,000 ","$300,000 ",$0 ,$0 ,$0 ,2015,north
Shasta_2015,Shasta,35,5,23,6,13,27,13,5,0,2,31,10,2015,north,106,53,9,2,0,0,0,2015,north,0,0,0,0,0,0,0,0,0,0,0,0,2015,northern,6,370,58,255,79,2015,north,$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$10,050 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Shasta_2015,Shasta,35,5,23,6,13,27,13,5,0,2,31,10,2015,north,106,53,9,2,0,0,0,2015,north,9,2,28,16,123,91,69,3,0,1,178,248,2015,northern,6,370,58,255,79,2015,north,$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$10,050 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Shasta_2015,Shasta,35,5,23,6,13,27,13,5,0,2,31,10,2015,north,106,53,9,2,0,0,0,2015,north,9,2,28,16,123,91,69,3,0,1,178,248,2015,northern,6,370,58,255,79,2015,north,$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$10,050 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north ,"$31,080 ","$71,241 ","$415,000 ","$300,000 ",$0 ,$0 ,$0 ,2015,north
Shasta_2015,Shasta,35,5,23,6,13,27,13,5,0,2,31,10,2015,north,106,53,9,2,0,0,0,2015,north,9,2,28,16,123,91,69,3,0,1,178,248,2015,northern,6,370,58,255,79,2015,north,$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$10,050 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Shasta_2015,Shasta,35,5,23,6,13,27,13,5,0,2,31,10,2015,north,106,53,9,2,0,0,0,2015,north,0,0,0,0,0,0,0,0,0,0,0,0,2015,northern,6,370,58,255,79,2015,north,$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$10,050 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Shasta_2015,Shasta,35,5,23,6,13,27,13,5,0,2,31,10,2015,north,106,53,9,2,0,0,0,2015,north,0,0,0,0,0,0,0,0,0,0,0,0,2015,northern,6,370,58,255,79,2015,north,$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$10,050 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north ,"$31,080 ","$71,241 ","$415,000 ","$300,000 ",$0 ,$0 ,$0 ,2015,north
Shasta_2015,Shasta,35,5,23,6,13,27,13,5,0,2,31,10,2015,north,106,53,9,2,0,0,0,2015,north,0,0,0,0,0,0,0,0,0,0,0,0,2015,northern,6,370,58,255,79,2015,north,$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$10,050 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Sierra_2015,Sierra,0,0,0,0,0,1,0,0,0,0,0,0,2015,north,0,1,0,0,0,0,0,2015,north,0,0,0,0,0,1,0,0,0,0,0,0,2015,northern,0,0,1,0,0,2015,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Siskiyou_2015,Siskiyou,4,5,20,5,7,48,63,1,0,0,26,2,2015,north,151,25,4,0,1,0,0,2015,north,0,0,0,0,0,1,0,0,0,0,0,0,2015,northern,3,468,11,31,2,2015,north,"$3,650 ",$0 ,"$2,200 ","$56,001 ","$1,250 ","$1,185 ",$600 ,$0 ,$0 ,$0 ,"$4,020 ",$0 ,2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Siskiyou_2015,Siskiyou,4,5,20,5,7,48,63,1,0,0,26,2,2015,north,151,25,4,0,1,0,0,2015,north,0,0,0,0,0,1,0,0,0,0,0,0,2015,northern,3,468,11,31,2,2015,north,"$3,650 ",$0 ,"$2,200 ","$56,001 ","$1,250 ","$1,185 ",$600 ,$0 ,$0 ,$0 ,"$4,020 ",$0 ,2015,north ,"$59,721 ","$8,000 ",$0 ,$0 ,"$1,185 ",$0 ,$0 ,2015,north
Siskiyou_2015,Siskiyou,4,5,20,5,7,48,63,1,0,0,26,2,2015,north,151,25,4,0,1,0,0,2015,north,0,1,7,1,4,476,1,0,0,0,25,0,2015,northern,3,468,11,31,2,2015,north,"$3,650 ",$0 ,"$2,200 ","$56,001 ","$1,250 ","$1,185 ",$600 ,$0 ,$0 ,$0 ,"$4,020 ",$0 ,2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Siskiyou_2015,Siskiyou,4,5,20,5,7,48,63,1,0,0,26,2,2015,north,151,25,4,0,1,0,0,2015,north,0,1,7,1,4,476,1,0,0,0,25,0,2015,northern,3,468,11,31,2,2015,north,"$3,650 ",$0 ,"$2,200 ","$56,001 ","$1,250 ","$1,185 ",$600 ,$0 ,$0 ,$0 ,"$4,020 ",$0 ,2015,north ,"$59,721 ","$8,000 ",$0 ,$0 ,"$1,185 ",$0 ,$0 ,2015,north
Solano_2015,Solano,1,0,2,0,1,0,4,0,0,0,7,3,2015,north,8,7,2,1,0,0,0,2015,north,4,0,0,0,0,0,1,0,0,0,31,155,2015,northern,150,38,1,2,0,2015,north,$0 ,$0 ,$40 ,,,$0 ,$300 ,$0 ,$0 ,$0 ,"$5,000 ","$15,000 ",2015,north ,$340 ,"$5,000 ",$0 ,"$15,000 ",$0 ,$0 ,$0 ,2015,north
Sonoma_2015,Sonoma,2,10,28,17,13,0,25,1,0,3,30,27,2015,north,116,35,5,0,0,0,0,2015,north,0,2,2,5,42,0,5,0,0,0,58,15,2015,northern,1,119,5,3,1,2015,north,$0 ,$0 ,$0 ,"$25,600 ","$10,700 ",$0 ,"$1,350,500 ",$0 ,$0 ,$0 ,"$5,000 ",$200 ,2015,north ,"$116,600 ","$1,273,300 ","$2,100 ",$0 ,$0 ,$0 ,$0 ,2015,north
Sutter_2015,Sutter,0,0,0,0,0,0,0,0,0,0,0,0,2015,north,0,0,0,0,0,0,0,2015,north,0,0,0,0,0,0,0,0,0,0,0,0,2015,northern,0,0,0,0,0,2015,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Tehama_2015,Tehama,2,2,7,4,4,6,10,1,0,1,27,10,2015,north,30,34,9,1,0,0,0,2015,north,0,0,0,0,0,3,0,0,0,0,0,0,2015,northern,104,183,2,247,0,2015,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Tehama_2015,Tehama,2,2,7,4,4,6,10,1,0,1,27,10,2015,north,30,34,9,1,0,0,0,2015,north,0,0,0,0,0,3,0,0,0,0,0,0,2015,northern,104,183,2,247,0,2015,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north ,"$2,900 ","$519,150 ","$111,400 ","$200,000 ",$0 ,$0 ,$0 ,2015,north
Tehama_2015,Tehama,2,2,7,4,4,6,10,1,0,1,27,10,2015,north,30,34,9,1,0,0,0,2015,north,0,0,0,0,0,3,0,0,0,0,0,0,2015,northern,104,183,2,247,0,2015,north,$0 ,$0 ,"$3,450 ","$51,000 ",$800 ,"$1,000 ","$53,600 ","$2,000 ",$0 ,$0 ,"$219,050 ","$502,550 ",2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Tehama_2015,Tehama,2,2,7,4,4,6,10,1,0,1,27,10,2015,north,30,34,9,1,0,0,0,2015,north,0,0,0,0,0,3,0,0,0,0,0,0,2015,northern,104,183,2,247,0,2015,north,$0 ,$0 ,"$3,450 ","$51,000 ",$800 ,"$1,000 ","$53,600 ","$2,000 ",$0 ,$0 ,"$219,050 ","$502,550 ",2015,north ,"$2,900 ","$519,150 ","$111,400 ","$200,000 ",$0 ,$0 ,$0 ,2015,north
Tehama_2015,Tehama,2,2,7,4,4,6,10,1,0,1,27,10,2015,north,30,34,9,1,0,0,0,2015,north,16,1,18,99,9,22,60,5,0,0,270,36,2015,northern,104,183,2,247,0,2015,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Tehama_2015,Tehama,2,2,7,4,4,6,10,1,0,1,27,10,2015,north,30,34,9,1,0,0,0,2015,north,16,1,18,99,9,22,60,5,0,0,270,36,2015,northern,104,183,2,247,0,2015,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north ,"$2,900 ","$519,150 ","$111,400 ","$200,000 ",$0 ,$0 ,$0 ,2015,north
Tehama_2015,Tehama,2,2,7,4,4,6,10,1,0,1,27,10,2015,north,30,34,9,1,0,0,0,2015,north,16,1,18,99,9,22,60,5,0,0,270,36,2015,northern,104,183,2,247,0,2015,north,$0 ,$0 ,"$3,450 ","$51,000 ",$800 ,"$1,000 ","$53,600 ","$2,000 ",$0 ,$0 ,"$219,050 ","$502,550 ",2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Tehama_2015,Tehama,2,2,7,4,4,6,10,1,0,1,27,10,2015,north,30,34,9,1,0,0,0,2015,north,16,1,18,99,9,22,60,5,0,0,270,36,2015,northern,104,183,2,247,0,2015,north,$0 ,$0 ,"$3,450 ","$51,000 ",$800 ,"$1,000 ","$53,600 ","$2,000 ",$0 ,$0 ,"$219,050 ","$502,550 ",2015,north ,"$2,900 ","$519,150 ","$111,400 ","$200,000 ",$0 ,$0 ,$0 ,2015,north
Tulare_2015,Tulare,5,0,1,7,5,17,12,0,0,0,20,3,2015,south,21,42,6,0,1,0,0,2015,south,6,0,0,2,36,629,23,0,0,0,43,1,2015,southern,32,662,1,3,42,2015,south,$45 ,$0 ,$0 ,$2 ,$500 ,"$1,000 ","$175,201 ",$0 ,$0 ,$0 ,$20 ,$0 ,2015,south,$2 ,"$175,266 ","$1,500 ",$0 ,$0 ,$0 ,$0 ,2015,south
Tuolumne_2015,Tuolumne,3,1,13,8,10,6,16,0,0,1,21,4,2015,south,51,25,4,3,0,0,0,2015,south,0,0,209,6,72,0,54,0,0,0,117,110,2015,southern,3,42,103,214,206,2015,south,$20 ,$0 ,$920 ,$336 ,"$22,247 ",$0 ,"$12,400 ",$0 ,$0 ,$0 ,$4 ,"$26,000 ",2015,south,"$5,816 ","$13,909 ","$20,200 ","$22,002 ",$0 ,$0 ,$0 ,2015,south
W. San Joaquin_2015,W. San Joaquin,0,0,0,0,0,0,1,0,0,0,5,2,2015,north,2,5,1,0,0,0,0,2015,north,0,0,0,0,0,0,1,0,0,0,41,10,2015,northern,0,52,0,0,0,2015,north,$0 ,$0 ,$0 ,,,$0 ,$150 ,$0 ,$0 ,$0 ,$40 ,"$1,000 ",2015,north ,$40 ,"$1,150 ",$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
W. Stanislaus_2015,W. Stanislaus,0,0,0,0,0,0,1,0,0,0,3,4,2015,north,1,4,3,0,0,0,0,2015,north,0,0,0,0,0,0,1,0,0,0,44,18,2015,northern,0,29,30,4,0,2015,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$800 ,2015,north ,$0 ,$0 ,$800 ,$0 ,$0 ,$0 ,$0 ,2015,north
Yolo_2015,Yolo,1,0,2,0,2,0,1,0,0,1,6,5,2015,north,11,6,0,1,0,0,0,2015,north,0,0,3,0,4,0,0,0,0,0,107,0,2015,northern,4,110,0,0,0,2015,north,$0 ,$0 ,$0 ,,"$60,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$7,500 ",$0 ,2015,north ,"$67,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Yuba_2015,Yuba,2,1,7,2,9,2,7,0,0,1,10,5,2015,north,30,14,2,0,0,0,0,2015,north,1,2,4,5,2,1,22,0,0,0,32,3,2015,northern,0,41,1,30,0,2015,north,$0 ,$0 ,$0 ,"$250,000 ","$2,600 ",$0 ,$20 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north ,"$2,600 ","$250,000 ",$20 ,$0 ,$0 ,$0 ,$0 ,2015,north
Amador-El Dorado_2015,Amador-El Dorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0 ,$100 ,$575 ,"$999,999,999 ","$5,770 ",$2 ,"$14,050 ",$120 ,$0 ,"$14,000 ","$3,070 ",$250 ,2015,north ,,,,,,,,,