SOUTHERN REGION,Total,Arson,Campfire,Debris Burning,Elec. Power,Equip. Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
Fresno,242,37,2,5,14,43,1,8,0,0,0,129,3
Kings,6,0,0,0,0,0,0,5,0,0,0,0,1
Madera,998,2,0,4,1,28,0,321,0,0,1,633,8
Mariposa,527,0,131,4,2,0,0,68,0,0,1,30,291
Merced,39,0,0,0,15,0,0,0,0,0,0,23,1
Riverside,372,2,10,8,6,9,2,10,101,0,1,184,39
Monterey,374,0,0,1,3,4,0,257,0,0,0,2,107
San Benito,24,0,0,0,3,0,0,12,0,0,0,6,3
Inyo,137,0,0,1,0,5,0,0,0,0,0,131,0
San Bernardino,37,2,12,4,0,0,0,2,0,0,1,15,1
San Diego,927,1,0,10,6,1,2,18,0,0,1,857,31
San Luis Obispo,112,0,23,2,31,6,0,0,0,0,0,15,35
Tulare,321,65,7,1,178,2,0,1,0,0,1,16,50
Calaveras,322,1,1,10,13,218,7,14,4,0,0,45,9
E. San Joaquin,51,0,0,0,17,20,0,11,0,0,0,0,3
E. Stanislaus,395,8,1,0,1,11,0,0,0,0,0,351,23
Tuolumne,725,5,1,9,22,3,11,2,0,0,0,121,551