county,Arson,Campfire,Debris Burning,Elec. Power,Equip. Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,Year,Region
Amador,0,0,5,"70,870",1,3,1,0,0,0,11,1,2015,northern
El Dorado,17,1,114,25,18,65,9,1,0,0,115,11,2015,northern
Sacramento,357,0,0,0,3,0,236,0,0,0,8,2,2015,northern
San Joaquin,0,0,0,2,0,0,60,0,0,0,2,1,2015,northern
Butte,0,0,0,0,0,0,1,0,0,0,15,0,2015,northern
Tehama,0,0,0,0,0,3,0,0,0,0,0,0,2015,northern
Del Norte,0,2,0,0,0,1,1,1,0,0,1,0,2015,northern
Humboldt,363,4,4,6,18,"3,206",4,0,0,2,42,6,2015,northern
Lassen,0,0,0,0,0,98,77,0,0,0,40,0,2015,northern
Modoc,0,0,0,0,60,122,0,0,1,0,1,0,2015,northern
Plumas,0,0,0,0,0,2,0,0,0,0,0,0,2015,northern
Shasta,0,0,0,0,0,0,0,0,0,0,0,0,2015,northern
Siskiyou,0,0,0,0,0,1,0,0,0,0,0,0,2015,northern
Mendocino,9,1,262,16,7,20,7,1,2,0,36,3,2015,northern
Nevada,11,0,9,4,36,3,106,0,0,0,"2,325",2,2015,northern
Placer,2,0,13,10,26,6,12,1,0,0,124,5,2015,northern
Sierra,0,0,0,0,0,1,0,0,0,0,0,0,2015,northern
Sutter,0,0,0,0,0,0,0,0,0,0,0,0,2015,northern
Yuba,1,2,4,5,2,1,22,0,0,0,32,3,2015,northern
San Mateo,0,0,0,7,4,0,0,0,0,1,15,10,2015,northern
Santa Cruz,1,0,0,4,0,0,2,0,0,0,3,0,2015,northern
Alameda,0,0,0,272,33,43,5,0,0,0,"2,929",176,2015,northern
Contra Costa,7,1,0,6,269,0,46,0,0,0,31,3,2015,northern
Santa Clara,0,0,0,9,5,1,3,0,0,0,159,6,2015,northern
W. San Joaquin,0,0,0,0,0,0,1,0,0,0,41,10,2015,northern
W. Stanislaus,0,0,0,0,0,0,1,0,0,0,44,18,2015,northern
Santa Clara,7,1,0,287,307,44,56,0,0,0,"3,204",213,2015,northern
E. Trinity,2,0,15,0,29,"3,263",129,0,0,0,1,0,2015,northern
Shasta,9,2,28,16,123,91,69,3,0,1,178,248,2015,northern
Shasta,0,0,0,0,0,0,0,0,0,0,0,0,2015,northern
Siskiyou,0,1,7,1,4,476,1,0,0,0,25,0,2015,northern
Colusa,0,0,0,1,6,0,70,0,0,0,2,0,2015,northern
Lake,1,0,4,"76,069","70,611",0,11,0,0,0,"25,151",2,2015,northern
Napa,0,2,2,45,1,2,17,0,0,0,"8,103",1,2015,northern
Solano,4,0,0,0,0,0,1,0,0,0,31,155,2015,northern
Sonoma,0,2,2,5,42,0,5,0,0,0,58,15,2015,northern
Yolo,0,0,3,0,4,0,0,0,0,0,107,0,2015,northern
Glenn,0,0,0,0,0,0,0,0,0,0,1,2,2015,northern
Tehama,16,1,18,99,9,22,60,5,0,0,270,36,2015,northern
Fresno,220,1,12,27,12,59,18,0,0,9,14,21,2015,southern
Kings,0,0,0,0,0,0,0,0,0,0,2,0,2015,southern
Madera,8,0,142,921,54,0,0,3,0,0,4,19,2015,southern
Mariposa,4,1,7,0,32,1,5,0,0,0,1,62,2015,southern
Merced,23,0,0,3,0,"1,600",11,0,0,0,8,"2,144",2015,southern
Riverside,0,81,3,3,"1,063",0,20,1,0,0,59,26,2015,southern
Monterey,0,0,12,4,5,69,3,3,0,0,"1,104",6,2015,southern
San Benito,0,0,9,695,51,4,2,0,0,0,2,6,2015,southern
Inyo,0,0,0,1,0,0,0,0,0,0,"7,001",0,2015,southern
San Bernardino,1,2,3,0,1,0,3,2,0,0,41,0,2015,southern
San Diego,0,2,4,3,7,2,10,0,0,0,201,0,2015,southern
San Luis Obispo,0,3,24,11,11,4,110,0,0,0,7,"4,293",2015,southern
Tulare,6,0,0,2,36,629,23,0,0,0,43,1,2015,southern
Calaveras,0,0,36,49,26,8,5,1,0,0,17,151,2015,southern
E. San Joaquin,0,0,0,0,17,0,2,0,0,0,1,3,2015,southern
E. Stanislaus,20,4,0,44,3,0,36,0,0,0,6,4,2015,southern
Tuolumne,0,0,209,6,72,0,54,0,0,0,117,110,2015,southern